instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,"﻿Residence of the Most Rev. Archbishop, adjoining the Cathedral, No. 106 N. Charles Street",﻿corner of Cathedral and Mulberry streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.2940646,-76.6168075,,,,,,﻿Very Rev.,﻿Henry B. Coskery,﻿D.D.,﻿V.G.,,,,,1868,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,"﻿Residence of the Most Rev. Archbishop, adjoining the Cathedral, No. 106 N. Charles Street",﻿corner of Cathedral and Mulberry streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.2940646,-76.6168075,,,,,,﻿Very Rev.,﻿Thomas Foley,﻿D.D.,"﻿V.G., Chancellor",,,,,1868,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,"﻿Residence of the Most Rev. Archbishop, adjoining the Cathedral, No. 106 N. Charles Street",﻿corner of Cathedral and Mulberry streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.2940646,-76.6168075,,,,,,﻿Rev.,﻿James Gibbons,,﻿Secretary,,,,,1868,Baltimore
﻿bal.md.0002,﻿church,﻿St. Patrick's,English,,"﻿Fell's Point, corner of Broadway and Bank street",,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.2875517,-76.5690796,,,,,,﻿Rev.,﻿James Dolan,﻿P.P.,,,,,,1868,Baltimore
﻿bal.md.0003,﻿church,﻿St. Vincent de Paul's,English,,﻿Front near Fayette street,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.2942755,-76.5856129,,,,,,﻿Rev.,﻿Henry Myers,﻿P.P.,,,,,,1868,Baltimore
﻿bal.md.0003,﻿church,﻿St. Vincent de Paul's,English,,﻿Front near Fayette street,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.2942755,-76.5856129,,,,,,﻿Rev.,﻿Thomas Lee,,,,,,,1868,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,﻿corner of Poppleton and Hollins streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.2878336,-76.63208470000002,,,,,,﻿Rev.,﻿Edward McColgan,﻿P.P.,,,,,,1868,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,﻿corner of Poppleton and Hollins streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.2878336,-76.63208470000002,,,,,,﻿Rev.,﻿John M. Jones,,,,,,,1868,Baltimore
﻿bal.md.0005,﻿church,﻿St. John's,English,,﻿Eager and Valley streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.3030924,-76.6049941,,,,,,﻿Rev.,﻿Bernard J. McManus,﻿P.P.,,,,,,1868,Baltimore
﻿bal.md.0005,﻿church,﻿St. John's,English,,﻿Eager and Valley streets,,,,﻿Baltimore,﻿Baltimore,﻿MD,,39.3030924,-76.6049941,,,,,,﻿Rev.,﻿Henry Voltz,,,,,,,1868,Baltimore
