instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,,﻿Most Rev.,﻿J.B. Purcell,﻿D.D.,,,,,,1870,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,,﻿Very Rev.,﻿E. Purcell,,﻿V.G.,,,,,1870,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,,﻿Rev.,﻿C.H. Borgess,,,,,,,1870,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,,﻿Rev.,﻿W.J. Halley,,,,,,,1870,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,,﻿Rev.,﻿G.I. Glass,,,,,,,1870,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999998,,,,,,﻿Rev.,﻿Chas. Driscoll,﻿S.J.,,,,,,1870,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999998,,,,,,﻿Rev.,﻿H. Baselmans,﻿S.J.,,,,,,1870,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999998,,,,,,﻿Rev.,﻿G. F. Boex,﻿S.J.,,,,,,1870,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999998,,,,,,﻿Rev.,﻿John Kuhlman,﻿S.J.,,,,,,1870,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999998,,,,,,﻿Rev.,﻿Felix Verheydt,﻿S.J.,,,,,,1870,Cincinnati
