instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿cov.kt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿Eighth street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,38.5731349,-82.8301677,,,,,,﻿Very Rev.,﻿John A. McGill,,﻿adm. and pastor,,,,,1870,Covington
﻿cov.kt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿Eighth street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,38.5731349,-82.8301677,,,,,,﻿Rev.,﻿James Smith,,,,,,,1870,Covington
﻿cov.kt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿Eighth street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,38.5731349,-82.8301677,,,,,,﻿Rev.,﻿Thos. C. Moore,,,,,,,1870,Covington
﻿cov.kt.0002,﻿church,﻿Church of the Mother of God,﻿German,,﻿Sixth street,,,,﻿Covington,﻿Covington,﻿KY,,39.08394929999999,-84.51261190000002,,,,,,﻿Rev.,﻿Ferdinand Kuhr,,﻿pastor,,,,,1870,Covington
﻿cov.kt.0002,﻿church,﻿Church of the Mother of God,﻿German,,﻿Sixth street,,,,﻿Covington,﻿Covington,﻿KY,,39.08394929999999,-84.51261190000002,,,,,,﻿Rev.,﻿Bernard Teutenberg,,﻿assistant,,,,,1870,Covington
﻿cov.kt.0003,﻿church,﻿St. John the Evangelist,﻿German,,,,,,﻿Covington,﻿Covington,﻿KY,,39.0763171,-84.52177990000001,,,,,,﻿Rev.,﻿Andrew Michel,,﻿pastor,,,,,1870,Covington
﻿cov.kt.0004,﻿church,﻿St. Joseph's,﻿German,,﻿Twelfth street,,,,﻿Covington,﻿Covington,﻿KY,,39.0760976,-84.5184102,,,,,,﻿Rev.,﻿Lambert Kettner,,﻿Prior,,,,,1870,Covington
﻿cov.kt.0004,﻿church,﻿St. Joseph's,﻿German,,﻿Twelfth street,,,,﻿Covington,﻿Covington,﻿KY,,39.0760976,-84.5184102,,,,,,﻿Rev.,﻿Amillian Wendel,﻿O.S.B.,,,,,,1870,Covington
﻿cov.kt.0004,﻿church,﻿St. Joseph's,﻿German,,﻿Twelfth street,,,,﻿Covington,﻿Covington,﻿KY,,39.0760976,-84.5184102,,,,,,﻿Rev.,﻿Gabriel Gurster,﻿O.S.B.,,,,,,1870,Covington
﻿cov.kt.0005,﻿church,﻿St. Aloysius',﻿German,,,,,,﻿Covington,﻿Covington,﻿KY,,39.0816825,-84.5181512,,,,,,﻿Rev.,﻿Edward Froelich,,﻿pastor,,,,,1870,Covington
