instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Galveston,﻿Galveston,﻿TX,,,,,,,,﻿cdub001,﻿Rt. Rev.,﻿C.M. Dubuis,﻿D.D.,,,,,,1869,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Galveston,﻿Galveston,﻿TX,,,,,,,,﻿lcha001,﻿Very Rev.,﻿L. C. M. Chambodut,,﻿V.G.,,,,,1869,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Galveston,﻿Galveston,﻿TX,,,,,,,,,﻿Rev.,﻿Peter Behr,,,,,,,1869,Galveston
﻿gal.tx.0002,﻿church,﻿St. Joseph's Church,﻿German,,,,,,﻿Galveston,﻿Galveston,﻿TX,,,,,,,,,﻿Rev.,﻿Theodore Von Gründner,,,,,,,1869,Galveston
﻿gal.tx.0154,﻿college,﻿St. Mary's College,English,﻿under the care of the Brothers of the Christian Doctrine,,,,,﻿Galveston,,﻿TX,,,,,,,,,﻿Rev.,﻿J. Thomas Johnston,,,,,,,1869,Galveston
﻿gal.tx.0154,﻿college,﻿St. Mary's College,English,﻿under the care of the Brothers of the Christian Doctrine,,,,,﻿Galveston,,﻿TX,,,,,,,,,﻿Brother,﻿Joachim,,﻿Director,﻿with 4 brothers,,,,1869,Galveston
﻿gal.tx.0158,﻿convent,﻿Ursuline Convent,English,,,,,,﻿Galveston,,﻿TX,,,,,,,,,﻿Rev.,﻿John B. Bellaclas,,,,,﻿19 sisters,,1869,Galveston
﻿gal.tx.0158,﻿convent,﻿Ursuline Convent,English,,,,,,﻿Galveston,,﻿TX,,,,,,,,,﻿Madame,﻿de St. Pierre,,﻿Mother-Superior,,,﻿75 boarders,,1869,Galveston
﻿gal.tx.0158,﻿convent,﻿Ursuline Convent,English,,,,,,﻿Galveston,,﻿TX,,,,,,,,,,,,,,,﻿150 day scholars,,1869,Galveston
﻿gal.tx.0158,﻿convent,﻿Sisters of Charity and Hospital,English,,,,,,﻿Galveston,,﻿TX,,,,,,,,,﻿Very Rev.,﻿Charles Padey,,﻿Chaplain and Superior,,,﻿150 day scholars,,1869,Galveston
