instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿har.pa.0001,﻿church,﻿St. Patrick's,English,,,,﻿Dauphin County,﻿Dauphin County,﻿Harrisburg,﻿Harrisburg,﻿PA,,40.27319110000001,-76.88670079999999,,,,,﻿jsha001,﻿Right Rev.,﻿J. F. Shanahan,﻿D.D.,,,,,,1870,Harrisburg
﻿har.pa.0001,﻿church,﻿St. Patrick's,English,,,,﻿Dauphin County,﻿Dauphin County,﻿Harrisburg,﻿Harrisburg,﻿PA,,0.0,0.0,,,,,﻿rbar001,﻿Rev.,﻿Richard J. Barry,,﻿Chancellor,,,,,1870,Harrisburg
﻿har.pa.0001,﻿church,﻿St. Patrick's,English,,,,﻿Dauphin County,﻿Dauphin County,﻿Harrisburg,﻿Harrisburg,﻿PA,,0.0,0.0,,,,,﻿fbas001,﻿Rev.,﻿Francis X. Bastable,,,,,,,1870,Harrisburg
﻿har.pa.0002,﻿church,﻿St. Lawrence's,﻿German,,,,﻿Dauphin County,﻿Dauphin County,﻿Harrisburg,﻿Harrisburg,﻿PA,,40.27319110000001,-76.88670079999999,,,,,﻿ckop001,﻿Rev.,﻿Clement A. Koppernagle,,﻿pastor,,,,,1870,Harrisburg
﻿har.pa.0003,﻿church,"﻿St. Mary's, Help of Christians",English,,,,﻿Dauphin County,﻿Dauphin County,﻿Lykens,﻿Lykens,﻿PA,,40.5667527,-76.7005219999999,,,,,﻿jmcl001,﻿Rev.,﻿J.J. McIlvaine,,﻿pastor,,,,,1870,Harrisburg
﻿har.pa.0004,﻿church,﻿Our Lady of Seven Dolors,English,,,,﻿Dauphin County,﻿Dauphin County,﻿Middletown,﻿Middletown,﻿PA,,40.199814,-76.7310806,﻿har.pa.0015,"﻿attended from Elizabethtown, Lancaster Co.",﻿once a month,,,,,,,,,,,1870,Harrisburg
﻿har.pa.0005,﻿church,﻿St. Mary's,English,,,,﻿Lebanon County,﻿Lebanon County,﻿Lebanon,﻿Lebanon,﻿PA,,40.3394319,-76.4241101,,,,,﻿akuh001,﻿Rev.,﻿A.F. Kuhlmann,,,,,,,1870,Harrisburg
﻿har.pa.0006,﻿church,﻿St. Lawrence's,English,,,,﻿Lebanon County,﻿Lebanon County,﻿Colebook Furnace,﻿Colebrook,﻿PA,,40.2381485,-76.51107900000002,﻿har.pa.0015,"﻿attended from Elizabethtown, Lancaster Co.",﻿three times a year,,,,,,,,,,,1870,Harrisburg
﻿har.pa.0007,﻿church,not recorded,English,,,,﻿Lebanon County,﻿Lebanon County,﻿Cornwall,﻿Cornwall,﻿PA,,40.2737035,-76.40607270000002,﻿har.pa.0070,﻿attended from Lebanon,﻿once a month,,,,,,,,,,,1870,Harrisburg
﻿har.pa.0008,﻿church,﻿St. Mary's of the Assumption,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Lancaster,﻿Lancaster,﻿PA,,40.0378755,-76.3055144,,,,,﻿bkee001,﻿Very Rev.,﻿Bernard Keenan,,﻿pastor,,,,,1870,Harrisburg
﻿har.pa.0008,﻿church,﻿St. Mary's of the Assumption,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Lancaster,﻿Lancaster,﻿PA,,0.0,0.0,,,,,﻿trei001,﻿Rev.,﻿Thomas J. Reilly,,,,,,,1870,Harrisburg
﻿har.pa.0009,﻿church,﻿St. Joseph's,﻿German,,,,﻿Lancaster County,﻿Lancaster County,﻿Lancaster,﻿Lancaster,﻿PA,,40.0378755,-76.3055144,,,,,﻿fneu001,﻿Rev.,﻿Francis L. Neufeld,,﻿pastor,,,,,1870,Harrisburg
﻿har.pa.0009,﻿church,﻿St. Joseph's,﻿German,,,,﻿Lancaster County,﻿Lancaster County,﻿Lancaster,﻿Lancaster,﻿PA,,0.0,0.0,,,,,﻿akau001,﻿Rev.,﻿A.F. Kaul,,,,,,,1870,Harrisburg
﻿har.pa.0010,﻿church,﻿St. Peter's,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Columbia,﻿Columbia,﻿PA,,40.0337085,-76.5044097999999,,,,,﻿jrus001,﻿Rev.,﻿James J. Russell,,﻿pastor,,,,,1870,Harrisburg
﻿har.pa.0010,﻿church,﻿St. Peter's,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Columbia,﻿Columbia,﻿PA,,0.0,0.0,,,,,﻿cmcm001,﻿Rev.,﻿Charles McMonigle,,,,,,,1870,Harrisburg
﻿har.pa.0011,﻿church,﻿Holy Trinity,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Columbia,﻿Columbia,﻿PA,,40.0337085,-76.5044097999999,,,,,﻿wpie001,﻿Rev.,﻿William Pieper,,﻿pastor,,,,,1870,Harrisburg
