instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿lit.ar.0001,﻿cathedral,﻿St. Andrew's Cathedral,English,﻿Church enlarged,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.7425025,-92.2723403,,,,,﻿efit001,﻿Rt. Rev.,﻿E. Fitzgerald,﻿D.D.,,,,,,1870,LittleRock
﻿lit.ar.0001,﻿cathedral,﻿St. Andrew's Cathedral,English,﻿Church enlarged,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.7425025,-92.2723403,,,,,﻿prei001,﻿Very Rev.,﻿P. Reilly,,﻿V.G.,,,,,1870,LittleRock
﻿lit.ar.0001,﻿cathedral,﻿St. Andrew's Cathedral,English,﻿Church enlarged,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.7425025,-92.2723403,,,,,﻿wohi001,﻿Rev.,﻿W. O'Higgins,,,,,,,1870,LittleRock
﻿lit.ar.0002,﻿church,not recorded,English,,,,﻿Woodruff County,﻿Woodruff County,﻿Augusta,﻿Augusta,﻿AR,,35.2823375,-91.3618239,,﻿attended from Pocahontas,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0003,﻿church,not recorded,English,﻿church commenced,,,﻿Independence County,﻿Independence County,﻿Batesville,﻿Batesville,﻿AR,,35.7702304,-91.6532669,,﻿attended from Pocahontas,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0004,﻿church,not recorded,English,,,,﻿Ouachita County,﻿Ouachita County,﻿Camden,﻿Camden,﻿AR,,33.58285120000001,-92.9375739,,﻿attended from Little Rock,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0005,﻿church,not recorded,English,,,,﻿Monroe County,﻿Monroe County,﻿Clarendon,﻿Clarendon,﻿AR,,34.6926398,-91.3092086,,﻿attended from Little Rock,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0006,﻿church,not recorded,English,,,,﻿Prairie County,﻿Prairie County,﻿Du Vall's Bluff,﻿DeValls Bluff,﻿AR,,34.785121999999994,-91.4583862,,﻿attended from Little Rock,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0007,﻿church,not recorded,English,,,,﻿Pulaski County,﻿Pulaski County,﻿Fourche Settlement,﻿Otter Creek Crystal,﻿AR,,34.675363,-92.410166,,﻿attended from Little Rock,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0008,﻿church,not recorded,English,﻿church to be built this year,,,﻿Hot Springs County,﻿Garland County,﻿Hot Springs,﻿Hot Springs,﻿AR,,34.5077615,-93.0546003,,,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0009,﻿church,not recorded,English,,,,﻿Jackson County,﻿Jackson County,﻿Jacksonport,﻿Jacksonport,﻿AR,,35.6419297,-91.3089346,,﻿attended from Pocahontas,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0010,﻿church,not recorded,English,,,,﻿Lawrence County,﻿Lawrence County,﻿Powhatan,﻿Powhatan,﻿AR,,36.082484,-91.119469,,﻿attended from Pocahontas,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0011,﻿church,not recorded,English,﻿church to be built this year,,,﻿Randolph County,﻿Randolph County,﻿Pocahontas,﻿Pocahontas,﻿AR,,36.2632561,-90.9716953,,,,,﻿jkea001,﻿Rev.,﻿Jas. S. Kean,,,,,,,1870,LittleRock
﻿lit.ar.0012,﻿church,not recorded,English,,,,﻿Sevier County,﻿Sevier County,﻿Paraclifta,﻿Paraclifta Township,﻿AR,,33.83774320000001,-94.1718542,,﻿attended from Little Rock,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0013,﻿church,not recorded,English,,,,﻿Little River County,﻿Little River County,﻿Rocky Comfort,﻿Rocky Comfort,﻿AR,,33.7054919,-94.4054422,,﻿attended from Little Rock,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0014,﻿church,not recorded,English,﻿Steps have been taken to build churches in nearly all the stations attended from Little Rock,,,﻿Hempstead County,﻿Hempstead County,﻿Washington,﻿Washington,﻿AR,,33.7748435,-93.6830214,,﻿attended from Little Rock,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0015,﻿church,not recorded,English,,,,,﻿Sebastian County,﻿Fort Smith,﻿Fort Smith,﻿AR,,35.3843722,-94.4209646,,,,,﻿lsmy001,﻿Rev.,﻿Lawrence Smyth,,,,,,,1870,LittleRock
﻿lit.ar.0016,﻿church,not recorded,English,﻿Church commenced,,,﻿Washington County,﻿Washington County,﻿Fayetteville,﻿Fayetteville,﻿AR,,36.0626579,-94.1605839,,﻿attended from Fort Smith,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0017,﻿church,not recorded,English,,"﻿Fort Gibson, I.N.",,,,,,﻿AR,,35.20105,-91.8318334,,﻿attended from Fort Smith,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0018,﻿church,not recorded,English,,"﻿Fort Arbuckle, I.N.",,,,,,﻿AR,,35.20105,-91.8318334,,﻿attended from Fort Smith,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0019,﻿church,not recorded,English,,,,﻿Crawford County,﻿Crawford County,﻿Van Buren,﻿Van Buren,﻿AR,,35.4589055,-94.3565578,,﻿attended from Fort Smith,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0020,﻿church,not recorded,English,,,,﻿Jefferson County,﻿Jefferson County,﻿New Gascony,﻿New Gascony,﻿AR,,34.2264866,-91.7765199,,,,,﻿pmcg001,﻿Rev.,﻿P. McGowan,,,,,,,1870,LittleRock
﻿lit.ar.0021,﻿church,not recorded,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Noble's Lake,﻿Noble Lake,﻿AR,,34.1731539,-91.8543007,,,,,﻿pmcg001,﻿Rev.,﻿P. McGowan,,,,,,,1870,LittleRock
﻿lit.ar.0022,﻿church,not recorded,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Swan Lake,﻿Altheimer,﻿AR,,34.222221999999995,-91.696667,,,,,﻿pmcg001,﻿Rev.,﻿P. McGowan,,,,,,,1870,LittleRock
﻿lit.ar.0023,﻿church,not recorded,English,,,,﻿Phillips County,﻿Phillips County,﻿Helena,﻿Helena,﻿AR,,34.529189200000005,-90.5911996,,,,,﻿psha001,﻿Rev.,﻿Phil. Shanahan,,,,,,,1870,LittleRock
﻿lit.ar.0024,﻿church,not recorded,English,,,,﻿Phillips County,﻿St. Francis County,﻿Madison,﻿Madison,﻿AR,,35.0131747,-90.7224556,,,,,﻿psha001,﻿Rev.,﻿Phil. Shanahan,,,,,,,1870,LittleRock
﻿lit.ar.0025,﻿church,﻿Church building,English,,,,,,﻿Taylor's Creek,,﻿AR,,35.20105,-91.8318334,,,,,﻿psha001,﻿Rev.,﻿Phil. Shanahan,,,,,,,1870,LittleRock
﻿lit.ar.0026,﻿church,not recorded,English,,,,,,﻿Trenton,﻿Trenton,﻿AR,,34.4998229,-90.8653916,,,,,﻿psha001,﻿Rev.,﻿Phil. Shanahan,,,﻿who also attends several stations on the Mississippi and St. Francis Rivers,,,,1870,LittleRock
﻿lit.ar.0027,﻿church,﻿New church,English,,,,,﻿Jefferson County,﻿Pine Bluff,﻿Pine Bluff,﻿AR,,34.224908,-92.0033977,,,,,﻿jdug001,﻿Rev.,﻿J. B. Duggan,,,,,,,1870,LittleRock
﻿lit.ar.0028,﻿church,not recorded,English,,,,﻿Jefferson County,,﻿Plum Bayou,﻿Plum Bayou Township,﻿AR,,34.3387123,-91.8903882,,﻿attended from Pine Bluff,,,,,,,,,,,,1870,LittleRock
﻿lit.ar.0029,﻿church,not recorded,English,,,,﻿Desha County,﻿Desha County,﻿Napoleon,,﻿AR,,33.795556,-91.107222,,,,,﻿jqui001,﻿Rev.,﻿Jas. A. Quinn,,,,,,,1870,LittleRock
﻿lit.ar.0030,﻿church,not recorded,English,﻿Church commenced,,,﻿Chicot County,﻿Chicot County,﻿Lake Village,﻿Lake Village,﻿AR,,33.3314055,-91.2840738,,,,,﻿jqui001,﻿Rev.,﻿Jas. A. Quinn,,,﻿who attends several stations on the Mississippi River,,,,1870,LittleRock
﻿lit.ar.0031,﻿convent,﻿Convent of Mercy,English,﻿St. Andrew's Cathedral,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.7444618,-92.2880157,,,,,﻿prei001,﻿Very Rev.,﻿P. Reilly,,﻿V.G.,,,,,1870,LittleRock
﻿lit.ar.0032,﻿convent,﻿Convent of Mercy,English,,,,,﻿Sebastian County,﻿Fort Smith,﻿Fort Smith,﻿AR,,35.3843722,-94.4209646,,,,,﻿lsmy001,﻿Rev.,﻿Lawrence Smyth,,,,,,,1870,LittleRock
﻿lit.ar.0033,﻿academy,﻿St. Mary's Academy,English,,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.7444618,-92.2880157,,,,,﻿mcar001,﻿Mother,﻿Mary Alphonsus Carton,,﻿Superior,,﻿boarder,﻿20 boarders,,1870,LittleRock
﻿lit.ar.0033,﻿academy,﻿St. Mary's Academy,English,,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.7444618,-92.2880157,,,,,,,,,,,﻿day pupil,﻿80 day pupils,﻿conducted by the Sisters of Mercy,1870,LittleRock
