instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles,,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.2449948,,,,,,﻿Rt. Rev.,﻿Thaddeus Amat,﻿D.D.,,,,,,1864,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles,,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.2449948,,,,,,﻿Very Rev.,﻿Francis Mora,,﻿Rector,,,,,1864,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles,,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.2449948,,,,,,﻿Rev.,﻿Joseph Mut,,﻿Assistant Pastor,,,,,1864,Monterey
﻿mon.ca.0002,﻿church,not recorded,English,,,,﻿Los Angeles,,﻿San Gabriel,﻿San Gabriel,﻿CA,,34.0961111,-118.1058333,,,,,,﻿Rev.,﻿Ciprian Rubio,,﻿Rector,,,,,1864,Monterey
﻿mon.ca.0003,﻿church,not recorded,English,,,,﻿Los Angeles,,﻿San Fernando,﻿San Fernando,﻿CA,,34.2819461,-118.4389719,﻿mon.ca.0052,﻿Attended from Los Angeles,,,,,,,,,,,,1864,Monterey
﻿mon.ca.0007,﻿chapel,not recorded,English,,,,﻿Los Angeles,,﻿San José,﻿San José,﻿CA,,34.2612875,-118.523384,﻿mon.ca.0002,﻿Attended from San Gabriel,,,,,,,,,,,,1864,Monterey
﻿mon.ca.0007,﻿chapel,not recorded,English,﻿chapel,,,﻿Los Angeles,,﻿San Nicolas,﻿San Nicolas,﻿CA,,34.2612875,-118.523384,﻿mon.ca.0002,﻿Attended from San Gabriel,,,,,,,,,,,,1864,Monterey
﻿mon.ca.0008,﻿church,﻿San Antonia de Padua,English,,,,﻿Los Angeles,,﻿Santa Ana,﻿Santa Ana,﻿CA,,34.3871821,-118.1122679,,,,,,﻿Rev.,﻿Anthony Borgatta,,﻿Pastor,,,,,1864,Monterey
﻿mon.ca.0010,﻿church,not recorded,English,,,,﻿Los Angeles,,﻿San Juan Capistrano,﻿San Juan Capistrano,﻿CA,,34.3871821,-118.1122679,,,,,,﻿Rev.,﻿Michael Duran,,﻿Pastor,,,,,1864,Monterey
﻿mon.ca.0014,﻿church,﻿Church of the Immaculate Conception,English,,,,﻿San Diego,,﻿San Diego,﻿San Diego,﻿CA,,34.3871821,-118.1122679,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,﻿Occasionally,,,,,,,,,,,1864,Monterey
