instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,,,,,,﻿Natchez,﻿Natchez,﻿MS,,31.5587495,-91.4014488,,,,,,﻿Rt. Rev.,﻿William Henry Elder,﻿D.D.,,,,,,1870,Natchez
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,,,,,,﻿Natchez,﻿Natchez,﻿MS,,31.5587495,-91.4014488,,,,,,﻿Very Rev.,﻿Mathurin F. Grignon,,﻿V.G.,,,,,1870,Natchez
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,,,,,,﻿Natchez,﻿Natchez,﻿MS,,31.5587495,-91.4014488,,,,,,﻿Rev.,﻿Germain Marty,,,,,,,1870,Natchez
﻿nat.ms.0002,﻿church,﻿Church of St. Francis of Sales,English,,,,﻿Monroe County,,﻿Aberdeen,﻿Aberdeen,﻿MS,,33.8251139,-88.5436553,,,,,,﻿Rev.,﻿J. B. Mouton,,,,,,,1870,Natchez
﻿nat.ms.0004,﻿church,not recorded,English,,,,﻿Lowndes County,,﻿Artesia,﻿Artesia,﻿MS,,33.4153994,-88.64393659999998,﻿nat.ms.0019,﻿Visited from Columbus,,,,,,,,,,,,1870,Natchez
﻿nat.ms.0005,﻿church,not recorded,English,,,,﻿Copiah County,,﻿Bahala,﻿Wesson,﻿MS,,31.699167,-90.396944,﻿nat.ms.0013,﻿Visited from Brookhaven,,,,,,,,,,,,1870,Natchez
﻿nat.ms.0006,﻿church,not recorded,English,,,,﻿Choctaw County,,﻿Bankston,﻿French Camp,﻿MS,,33.397222,-89.366667,﻿nat.ms.0042,﻿Visited from Louisville,﻿Occasionally,,,,,,,,,,,1870,Natchez
﻿nat.ms.0007,﻿church,﻿Our Lady of the Gulf,English,,,,,﻿Hancock County,﻿Bay of St. Louis,﻿Bay St. Louis,﻿MS,,30.314722,-89.344167,,,,,,﻿Rev.,﻿Henry Leduc,,,,,,,1870,Natchez
﻿nat.ms.0007,﻿church,﻿Our Lady of the Gulf,English,,,,,﻿Hancock County,﻿Bay of St. Louis,﻿Bay St. Louis,﻿MS,,30.314722,-89.344167,,,,,,﻿Rev.,﻿Alexander De Morangies,,,,,,,1870,Natchez
﻿nat.ms.0008,﻿church,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Jackson County,﻿Harrison County,﻿Biloxi,﻿Biloxi,﻿MS,,30.3971828,-88.8911688,,,,,,﻿Rev.,﻿P. Chevalier,,,,,,,1870,Natchez
﻿nat.ms.0009,﻿church,not recorded,English,,,,,﻿Harrison County,﻿Biloxi River,﻿Biloxi,﻿MS,,30.396031800000006,-88.88530779999998,﻿nat.ms.0008,﻿Visited from Biloxi,,,,,,,,,,,,1870,Natchez
﻿nat.ms.0010,﻿church,not recorded,English,,,,﻿Carroll County,,﻿Black Hawk,﻿Black Hawk,﻿MS,,33.3262353,-90.011751,﻿nat.ms.0107,﻿Visited from Yazoo City,,,,,,,,,,,,1870,Natchez
﻿nat.ms.0011,﻿church,not recorded,English,,,,﻿Pontotoc County,﻿Prentiss County,﻿Blackland,﻿Blackland,﻿MS,,34.6400963,-88.66588759999998,﻿nat.ms.0002,﻿Visited from Aberdeen,﻿About four times a year,,,,,,,,,,,1870,Natchez
﻿nat.ms.0012,﻿church,not recorded,English,,,,﻿Rankin County,,﻿Brandon,﻿Brandon,﻿MS,,32.2788733,-90.001384,﻿nat.ms.0036,﻿Visited from Jackson,,,,,,,,,,,,1870,Natchez
﻿nat.ms.0013,﻿church,﻿St. Francis of Assisium,English,,,,﻿Lawrence County,﻿Lincoln County,﻿Brookhaven,﻿Brookhaven,﻿MS,,31.5779093,-90.4401719,,,,,,﻿Rev.,﻿Anthony F. Strake,,,,,,,1870,Natchez
﻿nat.ms.0014,﻿church,not recorded,English,,,,﻿Noxubee County,,﻿Brooksville,﻿Brooksville,﻿MS,,33.2345685,-88.5822673,﻿nat.ms.0019,﻿Visited from Columbus,,,,,,,,,,,,1870,Natchez
﻿nat.ms.0015,﻿church,not recorded,English,,,,﻿Chickasaw County,,﻿Buena Vista,﻿Buena Vista,﻿MS,,33.884444,-88.83805600000002,﻿nat.ms.0002,﻿Visited from Aberdeen,﻿About four times a year,,,,,,,,,,,1870,Natchez
﻿nat.ms.0016,﻿church,﻿Church of the Sacred Heart,English,,,,﻿Madison County,,﻿Canton,﻿Canton,﻿MS,,32.6126381,-90.0367512,,,,,,﻿Rev.,﻿Patrick Murtagh,,,,,,,1870,Natchez
