instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿nes.wa.0001,﻿church,﻿St. Augustine and St. James' Cathedral,English,,,,,﻿Clark County,﻿Vancouver,﻿Vancouver,﻿WA,,45.630699,-122.6733285,,,,,,﻿Rt. Rev.,﻿A. M. A. Blanchet,,,,,,,1866,Nesqualy
﻿nes.wa.0001,﻿church,﻿St. Augustine and St. James' Cathedral,English,,,,,﻿Clark County,﻿Vancouver,﻿Vancouver,﻿WA,,45.630699,-122.6733285,,,,,,﻿Rev.,﻿Aegidius Junger,,,,,,,1866,Nesqualy
﻿nes.wa.0001,﻿church,﻿St. Augustine and St. James' Cathedral,English,,,,,﻿Clark County,﻿Vancouver,﻿Vancouver,﻿WA,,45.630699,-122.6733285,,,,,,﻿Rev.,﻿P. A. Mans,,,,,,,1866,Nesqualy
﻿nes.wa.0001,﻿church,﻿St. Augustine and St. James' Cathedral,English,,,,,﻿Clark County,﻿Vancouver,﻿Vancouver,﻿WA,,45.630699,-122.6733285,,,,,,﻿Rev.,﻿R. De Ryckere,,,,,,,1866,Nesqualy
﻿nes.wa.0002,﻿church,not recorded,English,,,,,,﻿Cape Disappointment,﻿Cape Disappointment,﻿WA,,45.630699,-122.6733285,﻿nes.wa.0001,﻿attended from Vancouver,,,,,,,,,,,,1866,Nesqualy
﻿nes.wa.0003,﻿church,not recorded,English,,,,,,﻿Chinook Point,﻿Chinook Point,﻿WA,,46.2898224,-124.0604319,﻿nes.wa.0001,﻿attended from Vancouver,,,,,,,,,,,,1866,Nesqualy
﻿nes.wa.0004,﻿church,not recorded,English,,,,,,﻿Cascades,,﻿WA,,46.2514921,-123.9218144,﻿nes.wa.0001,﻿attended from Vancouver,,,,,,,,,,,,1866,Nesqualy
﻿nes.wa.0004,﻿church,not recorded,English,,,,,,﻿Simcoe,,﻿WA,,46.2514921,-123.9218144,﻿nes.wa.0001,﻿attended from Vancouver,,,,,,,,,,,,1866,Nesqualy
﻿nes.wa.0006,﻿church,﻿St. Francis Xavier's,English,,,,,﻿Cowlitz County,﻿Cowlitz,,﻿WA,,46.6066643,-120.5038855,,,,,,﻿Rev.,﻿Ch. A. Richard,,,,,,,1866,Nesqualy
﻿nes.wa.0007,﻿church,﻿Immaculate Conception,English,,,,,﻿Pierce County,﻿Steilacoom,﻿Steilacoom,﻿WA,,46.30363867,-122.7906353,,,,,,﻿Rev.,﻿C. Vary,,,,,,,1866,Nesqualy
﻿nes.wa.0008,﻿church,not recorded,English,,,,,﻿Grays Harbor,﻿Gray's Harbor,,﻿WA,,47.1711826,-122.59508429999998,﻿nes.wa.0006,﻿attended from Cowlitz,,,,,,,,,,,,1866,Nesqualy
﻿nes.wa.0009,﻿church,﻿St. Michael's,English,,,,,﻿Thurston County,﻿Olympia,﻿Olympia,﻿WA,,46.93972649,-123.9940262,﻿nes.wa.0007,﻿attended from Steilacoom,,,,,,,,,,,,1866,Nesqualy
﻿nes.wa.0010,﻿church,not recorded,English,,,,,﻿King County,﻿Seattle,﻿Seattle,﻿WA,,47.040836,-122.885902,﻿nes.wa.0007,﻿attended from Steilacoom,,,,,,,,,,,,1866,Nesqualy
