instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,45.5236977,-122.6890595,,,,,﻿fbla001,﻿Most Rev.,﻿F. N. Blanchet,﻿D.D.,,,,,,1867,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,45.5236977,-122.6890595,,,,,﻿jfie001,﻿Very Rev.,﻿John F. Fierens,,﻿Rector,,,,,1867,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,45.5236977,-122.6890595,,,,,﻿cdel001,﻿Rev.,﻿Charles Tierney,,﻿Assistant,,,,,1867,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,45.5236977,-122.6890595,,,,,﻿lpie001,﻿Rev.,﻿Lewis Piette,,﻿Chaplain to the Convent,,,,,1867,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,45.5236977,-122.6890595,,,,,,﻿Rev.,﻿F.P. Cazeau,,﻿Secretary,,,,,1867,OregonCity
﻿ore.or.0002,﻿church,﻿Sacred Heart's Church,English,,,,,,﻿Oregon City,﻿Oregon City,﻿OR,,45.3556099,-122.605853,,,,,,﻿Rev.,﻿Father Odilon,,﻿Pastor,,,,,1867,OregonCity
﻿ore.or.0003,﻿church,﻿St. John the Baptist's Church,English,"﻿blessed July 24, 1864",,,,,﻿Milwaukee,﻿Milwaukee,﻿OR,,45.4426186,-122.6398398,﻿ore.or.0002,﻿Attended from Portland,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0007,﻿church,not recorded,English,,,,﻿Washington County,,﻿Hillboro,﻿Hillsboro,﻿OR,,45.5201337,-122.9898487,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0009,﻿church,not recorded,English,,,,﻿Warrenton County,﻿Clatsop County,﻿Fort Stevens,,﻿OR,,46.20196915,-123.9634904,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0004,﻿church,not recorded,English,,,,,,﻿Astoria,﻿Astoria,﻿OR,,45.4120536,-122.6965754,﻿ore.or.0002,﻿attended from Portland,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0010,﻿church,not recorded,English,,,,,,﻿Mount Ranier,﻿Ranier,﻿OR,,46.0891348,-122.9359776,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0011,﻿church,not recorded,English,,,,,,﻿St. Helen,﻿St. Helen,﻿OR,,45.8589637,-122.8212297,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0012,﻿church,not recorded,English,,,,,,﻿Columbia Bottom,,﻿OR,,45.56986,-122.48664,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0012,﻿church,not recorded,English,,,,,,﻿Cascades,﻿Cascades,﻿OR,,45.56986,-122.48664,,﻿attended from Portland,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0013,﻿church,﻿St. Louis's Church,English,,﻿French Prairie,,﻿Marion County,,,,﻿OR,,45.1236809,-122.9426242,,,,,,﻿Very Rev.,﻿B. Delorme,,﻿V.G. Pastor,,,,,1867,OregonCity
﻿ore.or.0013,﻿church,﻿St. Louis's Church,English,,﻿French Prairie,,﻿Marion County,,,,﻿OR,,45.1236809,-122.9426242,,,,,﻿alib001,﻿Rev.,﻿A. Lebas,,﻿Assistant,,,,,1867,OregonCity
﻿ore.or.0005,﻿church,not recorded,English,,﻿Molala,,,,﻿Molala,﻿Molalla,﻿OR,,45.1475439,-122.5771264,﻿ore.or.0002,﻿attended from St. Louis,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0015,﻿church,﻿St. Paul's,English,,﻿French Prairie,,﻿Marion County,,,,﻿OR,,45.2623415,-122.8403743,,,,,,﻿Rev.,﻿John F. Malo,,﻿Pastor,,,,,1867,OregonCity
﻿ore.or.0015,﻿church,﻿St. Paul's,English,,﻿French Prairie,,﻿Marion County,,,,﻿OR,,45.2623415,-122.8403743,,,,,,﻿Rev.,﻿- Delahunty,,﻿Assistant,,,,,1867,OregonCity
﻿ore.or.0017,﻿church,﻿St. John the Evangelist,English,,,,,,﻿Salem,﻿Salem,﻿OR,,44.9428975,-123.0350963,,,,,,﻿Rev.,﻿Sebastian Goens,,﻿Pastor,,,,,1867,OregonCity
﻿ore.or.0025,﻿church,﻿St. Mary's Church,English,,,﻿Valley of Willamette,,,﻿Corvallis,﻿Corvallis,﻿OR,,44.5729759,-123.2784567,﻿ore.or.0025,﻿attended from Salem,,,,,,,﻿Pastor,,,,,1867,OregonCity
﻿ore.or.0026,﻿church,not recorded,English,,,﻿Valley of Willamette,,,﻿Albany,﻿Albany,﻿OR,,44.6365107,-123.1059282,﻿ore.or.0025,﻿attended from Salem,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0027,﻿church,not recorded,English,,﻿Sentiam,﻿Valley of Willamette,,,﻿Sentiam,﻿Santiam Junction,﻿OR,,44.4359001,-121.9415656,﻿ore.or.0025,﻿attended from Salem,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0033,﻿church,not recorded,English,,,﻿Valley of Willamette,,,﻿Fort Hoskins,﻿Fort Hoskins,﻿OR,,44.6169707,-124.0207275,﻿ore.or.0025,﻿attended from Salem,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0030,﻿church,not recorded,English,,﻿Harrisburgh,﻿Valley of Willamette,,,﻿Harrisburgh,﻿Harrisburg,﻿OR,,44.2740123,-123.170648,﻿ore.or.0025,﻿attended from Salem,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0028,﻿church,not recorded,English,,,﻿Valley of Willamette,,,﻿Brownsville,﻿Brownsville,﻿OR,,44.3934571,-122.9848108,﻿ore.or.0025,﻿attended from Salem,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0029,﻿church,not recorded,English,,,﻿Valley of Willamette,,,﻿Scio,﻿Scio,﻿OR,,44.7048445,-122.8492562,﻿ore.or.0025,﻿attended from Salem,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0031,﻿church,not recorded,English,,﻿Lancaster,﻿Valley of Willamette,,,﻿Lancaster,﻿Lancaster,﻿OR,,44.25306,-123.19444,﻿ore.or.0025,﻿attended from Salem,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0032,﻿church,not recorded,English,,﻿Eugene City,﻿Valley of Willamette,,,﻿Eugene City,﻿Eugene,﻿OR,,44.0520691,-123.08675359999998,﻿ore.or.0025,﻿attended from Salem,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0038,﻿church,not recorded,English,,,﻿in the Valley of Umpqua,,,﻿Oakland,﻿Oakland,﻿OR,,43.4220625,-123.2984101,﻿ore.or.0034,﻿attended from Jacksonville,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0039,﻿church,not recorded,English,,,﻿in the Valley of Umpqua,,,﻿Scottsburgh,﻿Scottsburg,﻿OR,,43.654006,-123.8167679,﻿ore.or.0034,﻿attended from Jacksonville,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0037,﻿church,not recorded,English,,,﻿in the Valley of Umpqua,,,﻿Winchester,﻿Winchester,﻿OR,,43.51387385,-123.8040625,﻿ore.or.0034,﻿attended from Jacksonville,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0034,﻿chapel,not recorded,English,,,﻿in the Valley of Umpqua,,,﻿Roseburgh,﻿Roseburg,﻿OR,,43.2162208,-123.3573408,﻿ore.or.0034,﻿attended from Jacksonville,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0035,﻿church,not recorded,English,,﻿alias Cañonville,﻿in the Valley of Umpqua,,,﻿Canyonville,﻿Canyonville,﻿OR,,42.9273176,-123.2785375,﻿ore.or.0034,﻿attended from Jacksonville,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0040,﻿church,not recorded,English,,,,,,﻿Umpqua City,﻿Umqua,﻿OR,,43.3674511,-123.4546944,﻿ore.or.0034,﻿attended from Jacksonville,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0041,﻿church,not recorded,English,,,,,,﻿Empire City,﻿Coos Bay,﻿OR,,43.3672213,-124.2131325,﻿ore.or.0034,﻿attended from Jacksonville,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0043,﻿church,not recorded,English,,,,,,﻿Port Oxford,﻿Port Oxford,﻿OR,,43.8041334,-120.5542012,﻿ore.or.0034,﻿attended from Jacksonville,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0042,﻿church,not recorded,English,,﻿on the Pacific Coast,,,,﻿Ellensburgh,﻿Randolph,﻿OR,,43.51387385,-123.8040625,﻿ore.or.0034,﻿attended from Jacksonville,,,,,,,,,,,,1867,OregonCity
﻿ore.or.0045,﻿church,﻿St. Joseph's,English,,,﻿in the Valley of Rogue River,﻿Jackson County,,﻿Jacksonville,﻿Jacksonville,﻿OR,,42.3134584,-122.9669865,,,,,﻿fbla002,﻿Rev.,﻿F. X. Blanchet,,﻿Pastor,,,,,1867,OregonCity
