instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4475384,-79.949826,,,,,,﻿Rt. Rev.,﻿M. Domenec,﻿D.D.,,,,,,1870,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4475384,-79.949826,,,,,,﻿Very Rev.,﻿J. Hickey,,﻿Rector,,,,,1870,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4475384,-79.949826,,,,,,﻿Rev.,﻿Mark Devlin,,﻿Assistant,,,,,1870,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4475384,-79.949826,,,,,,﻿Rev.,﻿J. Holland,,﻿Assistant,,,,,1870,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4475384,-79.949826,,,,,,﻿Rev.,﻿P. Kerr,,﻿Assistant,,,,,1870,Pittsburgh
﻿pit.pa.0002,﻿church,﻿St. Patrick's,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4495663,-79.9849717,,,,,,﻿Rev.,﻿E. F. Garland,,﻿Rector,,,,,1870,Pittsburgh
﻿pit.pa.0002,﻿church,﻿St. Patrick's,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4406248,-79.9958864,,,,,,﻿Rev.,﻿F. Tobin,,﻿Assistant,,,,,1870,Pittsburgh
﻿pit.pa.0003,﻿church,﻿St. Philomena's,﻿German,,,,﻿Allegheny County,,﻿Pittsburgh,,﻿PA,,40.4406248,-79.9958864,,,,,,﻿Rev.,﻿F. Petsh,﻿C.SS.R,﻿Rector,,,,,1870,Pittsburgh
﻿pit.pa.0004,﻿church,﻿St. Bridget's,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4406248,-79.9958864,,,,,,﻿Rev.,﻿J. Treacy,,,,,,,1870,Pittsburgh
﻿pit.pa.0005,﻿church,﻿Holy Trinity,﻿German,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4406248,-79.9958864,,,,,,﻿Rev.,﻿Celestine Engelbrecht,﻿O.S.B.,,,,,,1870,Pittsburgh
﻿pit.pa.0006,﻿chapel,﻿St. Mary's Convent Chapel,English,,﻿St. Mary's Convent,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,40.4964057,-80.0005656,﻿pit.pa.0001,﻿attended from the Cathedral,,,,,,,,,,,,1870,Pittsburgh
﻿pit.pa.0008,﻿church,﻿St. Peter's,English,,,,﻿Allegheny County,,﻿Allegheny,﻿Allegheny,﻿PA,,40.3240983,-79.8661762,,,,,,﻿Rev.,﻿R. Phelan,,﻿Rector,,,,,1870,Pittsburgh
﻿pit.pa.0009,﻿church,﻿St. Mary's,﻿German,,,,,,﻿Pittsburg,﻿Pittsburgh,﻿PA,,40.4964057,-80.0005656,,,,,,﻿Very Rev.,,,﻿Rector,,,,,1870,Pittsburgh
﻿pit.pa.0009,﻿church,﻿St. Mary's,﻿German,,,,,,﻿Pittsburg,﻿Pittsburgh,﻿PA,,40.4964057,-80.0005656,,,,,,﻿Rev.,﻿J. Reiser,,﻿Assistant,,,,,1870,Pittsburgh
