instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
ric.va.0001,cathedral,St. Peter's,English,,"Church and residence, corner of Grace and Eighth streets",,Henrico County,,Richmond,Richmond,VA,VA,37.5404728,-77.4352187,,,,,jmcg.ric.va.001,Rt. Rev.,John McGill,D.D.,,,,,,1868,Richmond
ric.va.0001,cathedral,St. Peter's,English,,"Church and residence, corner of Grace and Eighth streets",,Henrico County,,Richmond,Richmond,VA,,37.5404728,-77.4352187,,,,,,Rev.,Thomas A. Becker,D.D.,,,,,,1868,Richmond
ric.va.0001,cathedral,St. Peter's,English,,"Church and residence, corner of Grace and Eighth streets",,Henrico County,,Richmond,Richmond,VA,,37.5404728,-77.4352187,,,,,tbra.ric.va.001,Rev.,Thos. J. Brady,,,,,,,1868,Richmond
ric.va.0002,church,St. Mary's,German,,"Church and residence, corner of Fourth and Marshal streets",,Henrico County,,Richmond,Richmond,VA,VA,37.557013,-77.4588057,,,,,lmey.ric.va.001,Rev.,Leonard Meyer,O.S.B.,,,,,,1868,Richmond
ric.va.0003,church,St. Patrick's,English,,"Twenty-fifth street, between Broad and Grace streets",,Henrico County,,Richmond,Richmond,VA,VA,37.5311148,-77.4188862,,,,,jhag.ric.va.001,Rev.,John P. Hagan,,Pastor,,,,,1868,Richmond
ric.va.0004,church,St. Joseph's,English,,"Residence and church, corner of Market and Washington streets",,Dinwiddie County,,Petersburgh,Petersburgh,VA,VA,37.2277089,-77.4062829,,,,,tmul.ric.va.001,Very Rev.,Thomas Mulvey,,"V.G., Pastor",,,,,1868,Richmond
ric.va.0005,church,St. Mary's,English,,,,,,Alexandria,Alexandria,VA,VA,38.8019025,-77.0438982,,,,,pkro.ric.va.001,Rev.,P. P. Kroes,S.J.,Pastor,,,,,1868,Richmond
ric.va.0005,church,St. Mary's,English,,,,,,Alexandria,Alexandria,VA,,38.8019025,-77.0438982,,,,,ptoa.ric.va.001,Rev.,P. Toale,S.J.,Assistant,,,,,1868,Richmond
ric.va.0006,church,St. Mary of the Immaculate Conception,English,,,,Spottsylvania County,,Fredericksburgh,Fredericksburgh,VA,VA,38.2970292,-77.4764711,ric.va.0001,attended from the Cathedral,every fourth Sunday,,,,,,,,,,,1868,Richmond
ric.va.0007,church,St. John the Evangelist,English,,,,Fauquier County,,Warrenton,Warrenton,VA,VA,38.7201584,-77.797212,,,,,jwee.ric.va.001,Rev.,J.A. Weed,,,,,,,1868,Richmond
ric.va.0008,church,St. Mary's,English,,,,Fairfax County,,Fairfax Station,Fairfax Station,VA,VA,38.8025901,-77.3271954,,,,,jwee.ric.va.001,Rev.,J.A. Weed,,,,,,,1868,Richmond
ric.va.0009,church,St. Joseph's,English,,,,Berkeley County,,Martinsburgh,Martinsburgh,VA,VA,39.4554011,-77.9644569,,,,,,Rev.,J. J. Ewin,,,,,,,1868,Richmond
ric.va.0010,church,St. Vincent de Paul,English,"This church was accidentally destroyed by fire during the war, while used as quarters by Confederate soldiers. It has not been rebuilt as yet, for want of means. The number of Catholics residing here is small, but numbers congregate here in the summer months, because of the famous healing baths of the Berkeley Springs.",,,Morgan County,,Bath,Bath,VA,VA,39.6261622,-78.2277954,,,,,,Rev.,J. J. Ewin,,,,,,,1868,Richmond
ric.va.0011,church,St. Peter's,English,,,,Jefferson County,,Harper's Ferry,Harper's Ferry,VA,VA,39.3235474,-77.7324501,,,,,jkai.ric.va.001,Rev.,J. J. Kain,,,,,,,1868,Richmond
ric.va.0012,church,St. Patrick's,English,"This church was destroyed during the war, chiefly by Federal soldiers, who stabled their horses in it. It has not been rebuilt yet, for want of means. There are here about two hundred Catholics, but generally without means.",,,Frederick County,,Winchester,Winchester,VA,VA,39.1856597,-78.1633341,ric.va.0011,visited from Harper's Ferry,every month,,,,,,,,,,,1868,Richmond
ric.va.0013,church,St. Francis Xavier's,English,,,,Campbell County,,Lynchburgh,Lynchburgh,VA,VA,37.7941268,-122.408071,,,,,,Rev.,Michael Farren,,,also visits Lexington,,,,1868,Richmond
ric.va.0014,church,St. Francis of Assisium,English,,,,Augusta County,,Stanton,Staunton,VA,VA,38.1514185,-79.0725932,,,,,jwee.ric.va.001,Rev.,J. A. Weed,,,,,,,1868,Richmond
