instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,state_orig,city_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
ric.va.0001,cathedral,St. Peter's,English,,Residence on corner of Grace and Eighth streets,,Henrico County,,Richmond,VA,Richmond,37.5404728,-77.4352187,,,,,jmcg.ric.va.001,Rt. Rev.,John McGill,D.D.,,,,,,1870,Richmond
ric.va.0001,cathedral,St. Peter's,English,,Residence on corner of Grace and Eighth streets,,Henrico County,,Richmond,VA,Richmond,37.5404728,-77.4352187,,,,,tbra.ric.va.001,Rev.,Thomas J. Brady,,,,,,,1870,Richmond
ric.va.0001,cathedral,St. Peter's,English,,Residence on corner of Grace and Eighth streets,,Henrico County,,Richmond,VA,Richmond,37.5404728,-77.4352187,,,,,tmul.ric.va.001,Very Rev.,Thomas Mulvey,,V.G.,,,,,1870,Richmond
ric.va.0001,cathedral,St. Peter's,English,,Residence on corner of Grace and Eighth streets,,Henrico County,,Richmond,VA,Richmond,37.5404728,-77.4352187,,,,,fjan.ric.va.001,Rev.,F. Jansens,,,,,,,1870,Richmond
ric.va.0002,church,St. Mary's,German,,Residence on corner of Fourth and Marshal streets,,Henrico County,,Richmond,VA,Richmond,37.557013,-77.4588057,,,,,lmey.ric.va.001,Rev.,Leonard Meyer,O.S.B.,,,,,,1870,Richmond
ric.va.0002,church,St. Mary's,German,,Residence on corner of Fourth and Marshal streets,,Henrico County,,Richmond,VA,Richmond,37.557013,-77.4588057,,,,,tste.ric.va.001,Rev.,Thaddeus Stephens,O.S.B.,,,,,,1870,Richmond
ric.va.0003,church,St. Patrick's,English,,"Twenty-fifth street, between Broad and Grace streets",,Henrico County,,Richmond,VA,Richmond,37.5311148,-77.4188862,,,,,jhag.ric.va.001,Rev.,John P. Hagan,,Pastor,,,,,1870,Richmond
ric.va.0004,church,St. Joseph's,English,,Residence on corner of Market and Washington streets,,Dinwiddie County,,Petersburgh,VA,Petersburgh,37.2277089,-77.4062829,,,,,gvan.ric.va.001,Rev.,Gerard Vanderplas,,Pastor,,,,,1870,Richmond
ric.va.0005,church,St. Mary's,English,,,,,,Alexandria,VA,Alexandria,38.8019025,-77.0438982,,,,,pkro.ric.va.001,Rev.,P. P. Kroes,S.J.,Pastor,,,,,1870,Richmond
ric.va.0005,church,St. Mary's,English,,,,,,Alexandria,VA,Alexandria,38.8019025,-77.0438982,,,,,ptoa.ric.va.001,Rev.,P. Toale,S.J.,Assistant,,,,,1870,Richmond
