instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1565779,-77.6088465,,,,,,﻿Rt. Rev.,﻿Bernard J. McQuaid,﻿D.D.,,,,,,1870,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1565779,-77.6088465,,,,,,﻿Very Rev.,﻿James M. Early,﻿V.G.,,,,,,1870,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1565779,-77.6088465,,,,,,﻿Rev.,﻿James F. O'Hare,,,,,,,1870,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1565779,-77.6088465,,,,,,﻿Rev.,﻿Joseph McKenna,,,,,,,1870,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1565779,-77.6088465,,,,,,﻿Rev.,﻿H. De Regge,,﻿Chancellor,,,,,1870,Rochester
﻿roc.ny.0002,﻿church,﻿St. Joseph's,﻿German,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1594407,-77.6064884,,,,,,﻿Rev.,﻿Geo Roland,﻿C.SS.R.,,,,,,1870,Rochester
﻿roc.ny.0003,﻿church,﻿St. Mary's,English,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1484359,-77.637175,,,,,,﻿Rev.,﻿Peter Barker,﻿D.D.,,,,,,1870,Rochester
﻿roc.ny.0004,﻿church,﻿Immaculate Conception,English,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1621325,-77.6230577,,,,,,﻿Rev.,﻿Patrick Byrnes,,,,,,,1870,Rochester
﻿roc.ny.0005,﻿church,﻿St. Bridget's,English,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1662079,-77.6123066,,,,,,﻿Rev.,﻿Nicholas Byrne,,,,,,,1870,Rochester
﻿roc.ny.0006,﻿church,﻿St. Peter's,﻿German,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1521729,-77.6329615,,,,,,﻿Rev.,﻿F. Sinclair,﻿D.D.,,,,,,1870,Rochester
﻿roc.ny.0007,﻿church,﻿St. Boniface's,﻿German,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1427357,-77.60313740000002,,,,,,﻿Rev.,﻿J. F. Payer,,,,,,,1870,Rochester
﻿roc.ny.0008,﻿church,﻿Our Lady of Victory,﻿French,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1590313,-77.6089505,,,,,,﻿Rev.,﻿Joseph Dolé,,,,,,,1870,Rochester
﻿roc.ny.0009,﻿church,﻿Holy Family,﻿German,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1565779,-77.6088465,,,,,,﻿Rev.,﻿Leopold Hoffschneider,,,,,,,1870,Rochester
﻿roc.ny.0010,﻿church,﻿Most Holy Redeemer,﻿German,,,,﻿Monroe County,,﻿Rochester,﻿Rochester,﻿NY,,43.1951865,-77.6395931,,,,,,﻿Rev.,﻿Fidelis Oberholzer,,,,,,,1870,Rochester
﻿roc.ny.0011,﻿church,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Monroe County,,﻿Brockport,﻿Brockport,﻿NY,,43.2136713,-77.9391797,,,,,,﻿Rev.,﻿Richard J. Storey,,,,,,,1870,Rochester
﻿roc.ny.0012,﻿church,﻿St. John Evangelist,English,,,,﻿Monroe County,,﻿Spencerport,﻿Spencerport,﻿NY,,43.1864501,-77.80389720000002,,,,,,﻿Rev.,﻿Richard J. Storey,,,,,,,1870,Rochester
﻿roc.ny.0013,﻿church,﻿Assumption of the Blessed Virgin Mary,English,,,,﻿Monroe County,,﻿Fairport,﻿Fairport,﻿NY,,43.09867420000001,-77.4419378,,,,,,﻿Rev.,﻿L. J. Miller,,,,,,,1870,Rochester
﻿roc.ny.0014,﻿church,﻿Mother of Sorrows,English,,,,﻿Monroe County,,﻿Greece,﻿Greece,﻿NY,,39.074208,21.824312,,,,,,﻿Rev.,﻿John M. Maurice,,,,,,,1870,Rochester
﻿roc.ny.0015,﻿church,﻿Holy Cross,English,,,,﻿Monroe County,,﻿Charlotte,﻿Rochester,﻿NY,,43.2349747,-77.62210909999997,,,,,,﻿Rev.,﻿John M. Maurice,,,,,,,1870,Rochester
﻿roc.ny.0016,﻿church,﻿St. John Evangelist's,English,,,,﻿Monroe County,,﻿Ridge,﻿Riga,﻿NY,,43.2994285,-74.21793259999998,,,,,,﻿Rev.,﻿John M. Maurice,,,,,,,1870,Rochester
﻿roc.ny.0017,﻿church,﻿Assumption,English,,,,﻿Monroe County,,﻿Scottsville,﻿Scottsville,﻿NY,,43.02589570000001,-77.74528259999998,,,,,,﻿Rev.,﻿Thomas A. Maher,,,,,,,1870,Rochester
﻿roc.ny.0018,﻿church,﻿St. Patrick's,English,,,,﻿Monroe County,,﻿Mumfordville,﻿Mumford,﻿NY,,37.2722751,-85.8910819,,,,,,﻿Rev.,﻿Thomas A. Maher,,,,,,,1870,Rochester
﻿roc.ny.0019,﻿church,﻿St. Fechan,English,,,,﻿Monroe County,,﻿Chili,﻿Chili,﻿NY,,43.1138701,-77.755043,,,,,,﻿Rev.,﻿Michael Purcell,,,,,,,1870,Rochester
﻿roc.ny.0020,﻿church,﻿St. Paul's,English,,,,﻿Monroe County,,﻿Honeoye Falls,﻿Honeoye Falls,﻿NY,,42.9522855,-77.59027590000002,﻿roc.ny.0024,﻿Attended from Lima,,,,,,,,,,,,1870,Rochester
﻿roc.ny.0021,﻿church,﻿Holy Trinity,﻿German,,,,﻿Monroe County,,﻿Webster,﻿Webster,﻿NY,,43.2122851,-77.4299939,,,,,,,,,,,,,,1870,Rochester
﻿roc.ny.0022,﻿church,﻿St. Agnes',English,,,,﻿Livingston County,,﻿Avon,﻿Avon,﻿NY,,42.9135097,-77.745194,,,,,,﻿Rev.,﻿John L. O'Keefe,,,,,,,1870,Rochester
﻿roc.ny.0023,﻿church,﻿St. Joseph's,English,,,,﻿Livingston County,,﻿Rush,﻿Rush,﻿NY,,42.1424234,-73.7779162,,,,,,﻿Rev.,﻿John L. O'Keefe,,,,,,,1870,Rochester
﻿roc.ny.0024,﻿church,﻿St. Rose's,English,,,,﻿Livingston County,,﻿Lima,﻿Lima,﻿NY,,42.90478570000001,-77.6113869,,,,,,﻿Rev.,﻿William A. Gregg,,,,,,,1870,Rochester
﻿roc.ny.0025,﻿church,﻿St. Michael's,English,,,,﻿Livingston County,,﻿Livonia,﻿Livonia,﻿NY,,42.36837,-83.3527097,,,,,,﻿Rev.,﻿William A. Gregg,,,,,,,1870,Rochester
﻿roc.ny.0026,﻿church,﻿St. Mary's,﻿German,,,,﻿Livingston County,,﻿Dansville,﻿Dansville,﻿NY,,42.5603213,-77.6929416,,,,,,﻿Rev.,﻿Jos. Albinger,,,,,,,1870,Rochester
﻿roc.ny.0027,﻿church,﻿St. Patrick's,English,,,,﻿Livingston County,,﻿Dansville,﻿Dansville,﻿NY,,42.5608999,-77.696106,,,,,,﻿Rev.,﻿Jos. Albinger,,,,,,,1870,Rochester
﻿roc.ny.0028,﻿church,﻿St. Patrick's,English,,,,﻿Livingston County,,﻿Mount Morris,﻿Mount Morris,﻿NY,,42.7256184,-77.8741694,,,,,,﻿Rev.,﻿David O'Brien,,,,,,,1870,Rochester
﻿roc.ny.0029,﻿church,﻿St. Mary's,English,,,,﻿Livingston County,,﻿Geneseo,﻿Geneseo,﻿NY,,42.795896,-77.816947,,,,,,﻿Rev.,﻿David O'Brien,,,,,,,1870,Rochester
﻿roc.ny.0030,﻿church,﻿Holy Angels',English,,,,﻿Livingston County,,﻿Nunda,﻿Nunda,﻿NY,,42.5845935,-77.9396891,,,,,,,,,,,,,,1870,Rochester
﻿roc.ny.0031,﻿church,﻿St. Mary's,English,,,,﻿Ontario County,,﻿Canandaigua,﻿Canandaigua,﻿NY,,42.8909999,-77.28295920000002,,,,,,﻿Rev.,﻿Denis English,,,,,,,1870,Rochester
