instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿sanf.ca.0001,﻿Cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.79265151,-122.4058666,,,,,,﻿Most Rev.,﻿Josehp S. Alemany,﻿D.D.,,,,,,1864,SanFrancisco
﻿sanf.ca.0001,﻿Cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.79265151,-122.4058666,,,,,,﻿Very Rev.,﻿James Croke,﻿V.G.,﻿Rector,,,,,1864,SanFrancisco
﻿sanf.ca.0001,﻿Cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.79265151,-122.4058666,,,,,,﻿Rev.,﻿John Hodges,,﻿Pro-Secretary of Archbishop,,,,,1864,SanFrancisco
﻿sanf.ca.0001,﻿Cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.79265151,-122.4058666,,,,,,﻿Rev.,﻿Thomas Fagan,,﻿Assistant Pastor,,,,,1864,SanFrancisco
﻿sanf.ca.0001,﻿Cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.79265151,-122.4058666,,,,,,﻿Rev.,﻿Samuel Doherty,,﻿Assistant Pastor,,,,,1864,SanFrancisco
﻿sanf.ca.0002,﻿church,﻿St. Francis' Mission,English,,,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.79265151,-122.4058666,,,,,﻿same as previous year but just different format of name,﻿Very Rev.,﻿Jno. J. Prendergast,,﻿Pastor,,,,,1864,SanFrancisco
﻿sanf.ca.0002,﻿church,﻿St. Francis' Mission,English,,,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.79896422,-122.407721,,,,,,﻿Rev.,﻿Thomas Cushing,,﻿Assistant Pastor,,,,,1864,SanFrancisco
﻿sanf.ca.0003,﻿church,﻿St. Francis of Assium,English,﻿service in Spanish at half-past eight o'clock,﻿Vallejo sreet,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.79896422,-122.407721,,,,,,﻿Rev.,﻿James S. Cotter,,﻿Pastor,,,,,1864,SanFrancisco
﻿sanf.ca.0003,﻿church,﻿St. Francis of Assium,English,﻿service in Spanish at half-past eight o'clock,﻿Vallejo sreet,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.78090289,-122.4378918,,,,,,﻿Rev.,﻿James Cassin,,﻿Assistant Pastor,,,,,1864,SanFrancisco
﻿sanf.ca.0003,﻿church,﻿St. Francis of Assium,English,﻿service in Spanish at half-past eight o'clock,﻿Vallejo sreet,,,,﻿San Francisco,﻿San Francisco,﻿CA,,37.78090289,-122.4378918,,,,,,﻿Rev.,﻿Thomas Cian,,﻿Assistant Pastor,,,,,1864,SanFrancisco
