instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿aver001,,﻿Augustin Verot,﻿D.D.,﻿Bishop,,,,,1870,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿jone001,,﻿J.F. O'Neill,,,,,,,1870,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿pwhe001,,﻿P. Whelan,,,,,,,1870,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿wham001,,﻿W.J. Hamilton,,,,,,,1870,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿atan001,,﻿A. Tanquerai,,,,,,,1870,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿jber001,,﻿John Bertazzi,,,,,,,1870,Savannah
﻿sav.ga.0002,﻿church,﻿St. Patrick's,English,,﻿corner of Liberty and West Broad streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0745249,-81.09391070000002,,,,,﻿pduf001,,﻿Peter Dufau,,﻿Pastor,,,,,1870,Savannah
﻿sav.ga.0002,﻿church,﻿St. Patrick's,English,,﻿corner of Liberty and West Broad streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0745249,-81.09391070000002,,,,,﻿cpre001,,﻿C.C. Prendergast,,,,,,,1870,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,,,,,,﻿Augusta,﻿Augusta,﻿GA,,33.4715171,-81.96679350000002,,,,,﻿gdug001,,﻿G. Duggan,,,,,,,1870,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,,,,,,﻿Augusta,﻿Augusta,﻿GA,,33.4715171,-81.96679350000002,,,,,﻿jkir001,,﻿John Kirby,,,,,,,1870,Savannah
