instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿tgra001,﻿Rt. Rev.,﻿Thomas L. Grace,,﻿Bishop,,,,,1870,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿arav001,﻿Very Rev.,﻿A. Ravoux,,,,,,,1870,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿jire001,﻿Rev.,﻿John Ireland,,﻿Pastor of the Parish,,,,,1870,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿wrio001,﻿Rev.,﻿William Riordan,,﻿Assistant,,,,,1870,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿mmur001,﻿Rev.,﻿Maurice Murphy,,﻿Assistant,,,,,1870,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿drev001,﻿Rev.,﻿D. Reville,﻿O.S.D.,﻿Assistant,,,,,1870,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,﻿St. Peter's Benevlolent Society,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.9475503,-93.0994729,,,,,﻿csta001,﻿Rev.,﻿Clement Staub,﻿O.S.B.,,,,,,1870,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,﻿St. Peter's Benevlolent Society,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.9475503,-93.0994729,,,,,﻿owir001,﻿Rev.,﻿Othman Wirz,﻿O.S.B.,,,,,,1870,StPaul
﻿stp.mn.0003,﻿church,﻿St. Mary's Church,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.9523479,-93.0885005,,,,,﻿lcai001,﻿Rev.,﻿L. Caillet,,,,,,,1870,StPaul
﻿stp.mn.0004,﻿church,﻿St. Louis's Church,﻿French,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.9678942,-93.0736898,,,,,﻿asch001,﻿Rev.,﻿A. Schirmer,,,,,,,1870,StPaul
﻿stp.mn.0005,﻿chapel,﻿Chapel of St. Joseph,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.9469765,-93.0999889,﻿stp.mn.0001,﻿Attended from the Cathedral,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0006,﻿church,﻿St. Michael's Church,English,,﻿West St. Paul,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.9183814,-93.0711189,﻿stp.mn.0001,﻿Attended from the Cathedral,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0007,﻿church,﻿St. John's Church,English,,,,,﻿Ramsey,﻿New Canada,﻿Little Canada,﻿MN,,45.0274537,-93.0898018,,﻿,,,﻿jgoi001,﻿Rev.,﻿J. Goiffon,,,,,,,1870,StPaul
﻿stp.mn.0008,﻿church,﻿Church of St. Stephen,English,,,,﻿Anoka County,﻿Anoka County,﻿Anoka,﻿Anoka,﻿MN,,45.199199,-93.38274,﻿stp.mn.0073,﻿Visited by Rev. Prosper Maurer  of Dayton,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0009,﻿church,﻿Church of St. Genevieve,English,,,,﻿Anoka County,﻿Anoka County,﻿Centreville,﻿Centerville,﻿MN,,45.1635477,-93.0580282,﻿stp.mn.0007,﻿Visited by Rev. Joseph Goiffon  of Little Canada,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0010,﻿station,not recorded,English,,,,﻿Anoka County,﻿Anoka County,﻿St. Francis,﻿St. Francis,﻿MN,,45.3974847,-93.387922,﻿stp.mn.0073,﻿Visited by Rev. Prosper Maurer,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0011,﻿church,﻿Sauk Rapids Church,English,,,,﻿Benton County,﻿Benton County,,﻿Sauk Rapids,﻿MN,,45.5919097,-94.1661011,﻿stp.mn.0221,﻿Visited by Rev. Augustine Burns  of St. Louis Abbey,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0012,﻿church,﻿Church of St. Philip,English,,,,﻿Blue Earth County,﻿Blue Earth County,﻿Mankato,﻿Mankato,﻿MN,,44.1635775,-93.9993996,,﻿,,,﻿vsom001,﻿Rev.,﻿V. Sommereisen,,,,,,,1870,StPaul
﻿stp.mn.0013,﻿station,not recorded,English,,﻿Agency,,﻿Blue Earth County,﻿Faribault County,﻿Winnebago,﻿Winnebago,﻿MN,,43.767733,-94.1657949,﻿stp.mn.0014,﻿Visited by Rev. V. Sommereisen,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0014,﻿station,not recorded,English,,,,﻿Blue Earth County,﻿Blue Earth County,﻿Watowan,﻿St. James,﻿MN,,43.97958224,-94.62862905,,﻿,,,﻿vsom001,﻿Rev.,﻿V. Sommereisen,,,,,,,1870,StPaul
﻿stp.mn.0017,﻿church,﻿Church of the Holy Trinity,English,,,,﻿Brown County,﻿Brown County,﻿New Ulm,﻿New Ulm,﻿MN,,44.3144394,-94.4593018,,﻿,,,﻿aber001,﻿Rev.,﻿Alex Berghold,,,,,,,1870,StPaul
﻿stp.mn.0018,﻿church,﻿Church of St. Lambert,English,,,,﻿Brown County,﻿Brown County,﻿Cottonwood,﻿Cottonwood Township,﻿MN,,44.2194977,-94.4182089,﻿stp.mn.0017,﻿Visited by Rev. A. Berghold,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0019,﻿church,﻿Church of St. Joseph,English,,,,﻿Carver County,﻿Carver County,﻿Waconia,﻿Waconia,﻿MN,,44.8494557,-93.7858807,,﻿,,,﻿ftop001,﻿Rev.,﻿F. Toplak,,,,,,,1870,StPaul
﻿stp.mn.0020,﻿church,﻿Church of Guardian Angels,English,,,,﻿Carver County,﻿Carver County,﻿Chaska,﻿Chaska,﻿MN,,44.7851596,-93.602783,,﻿,,,﻿mmay001,﻿Rev.,﻿M. Mayer,,,,,,,1870,StPaul
﻿stp.mn.0021,﻿church,﻿Church of Immaculate Conception,English,,,,﻿Carver County,﻿Carver County,﻿Watertown,﻿Watertown,﻿MN,,44.9649288,-93.8491794,,﻿,,,﻿crob001,﻿Rev.,﻿C. Robert,,,,,,,1870,StPaul
﻿stp.mn.0022,﻿church,﻿Church of St. Bernard,English,,,,﻿Carver County,﻿Carver County,﻿Benton,﻿Benton Township,﻿MN,,44.7672739,-93.8451731,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0023,﻿church,﻿Church of St. Hubert,English,,,,﻿Carver County,﻿Carver County,﻿Chanhassan,﻿Chanhassan,﻿MN,,44.8553612,-93.532154,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0024,﻿church,﻿Church of St. Victoria,English,,,,﻿Carver County,﻿Carver County,﻿Laketown,﻿Laketown Township,﻿MN,,44.8546576,-93.661907,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0025,﻿church,﻿Young America Church,English,,,,﻿Carver County,﻿Carver County,,﻿Norwood Young American,﻿MN,,44.7809286,-93.9129135,﻿stp.mn.0019,﻿Visited by Rev. F. Toplak,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0026,﻿station,not recorded,English,,,,﻿Carver County,﻿Carver County,﻿San Francisco,﻿San Fransciso Township,﻿MN,,44.6963713,-93.7232005,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0027,﻿station,not recorded,English,,,,﻿Chisago County,﻿Chisago County,﻿Taylor's Falls,﻿Taylor's Falls,﻿MN,,45.401906200000006,-92.6524292,﻿stp.mn.0203,﻿Visited by Rev. Thomas Murray  of Stillwater,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0028,﻿station,not recorded,English,,,,﻿Chisago County,﻿Chisago County,﻿Sunrise,﻿Sunrise,﻿MN,,45.5469049,-92.8549364,﻿stp.mn.0203,﻿Visited by Rev. Thomas Murray  of Stillwater,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0029,﻿station,not recorded,English,,,,﻿Chisago County,﻿Chisago County,﻿Wyoming,﻿Wyoming,﻿MN,,45.3375,-92.9980556,﻿stp.mn.0203,﻿Visited by Rev. Thomas Murray  of Stillwater,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0030,﻿station,not recorded,English,,,,﻿Chisago County,﻿Chisago County,﻿Rusheba,﻿Rusheba Township,﻿MN,,45.6961645,-92.9112093,﻿stp.mn.0203,﻿Visited by Rev. Thomas Murray  of Stillwater,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0031,﻿church,﻿Church of St. Francis Xavier,English,,,,﻿Crow Wing County,﻿Crow Wing County,﻿Crow Wing,﻿Crow Wing,﻿MN,,46.2799671,-94.2924998,,﻿,,,﻿fpie001,﻿Rev.,﻿F. Pierz,,,,,,,1870,StPaul
﻿stp.mn.0032,﻿church,﻿Church of the Guardian Angels,English,,,,﻿Dakota County,﻿Dakota County,﻿Hastings,﻿Hastings,﻿MN,,44.7419815,-92.8505325,,﻿,,,﻿jhal001,﻿Rev.,﻿James Halton,,,,,,,1870,StPaul
﻿stp.mn.0033,﻿church,﻿Church of St. Peter,English,,,,﻿Dakota County,﻿Dakota County,﻿Mendota,﻿Mendota,﻿MN,,44.8857158,-93.1683167,,﻿,,,﻿pgle001,﻿Rev.,﻿P. Glennan,,,,,,,1870,StPaul
﻿stp.mn.0034,﻿church,﻿Church of St. John,English,,,,﻿Dakota County,﻿Dakota County,﻿Burnsville,﻿Burnsville,﻿MN,,44.7677424,-93.2777226,,﻿,,,﻿aost001,﻿Rev.,﻿A. Oster,,,,,,,1870,StPaul
﻿stp.mn.0035,﻿church,﻿Church of the Blessed Virgin,English,,,,﻿Dakota County,﻿Dakota County,﻿New Treves,﻿New Trier,﻿MN,,44.601356,-92.934097,,﻿,,,﻿pbay001,﻿Rev.,﻿P. Bayer,,,,,,,1870,StPaul
﻿stp.mn.0036,﻿church,﻿Church of St. Patrick,English,,,,﻿Dakota County,﻿Dakota County,﻿Invergrove,﻿Inver Grove Heights,﻿MN,,44.8452429,-93.0338269,﻿stp.mn.0033,﻿Visited by Rev. P. Glennan,,,,,,,,,,,,1870,StPaul
﻿stp.mn.0037,﻿church,not recorded,English,,,,﻿Dakota County,﻿Dakota County,﻿Bellwood,﻿Marshan Township,﻿MN,,44.6832366,-92.8776638,﻿stp.mn.0032,﻿Visited by Rev. James Halton,,,,,,,,,,,,1870,StPaul
