instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿gra.ca.0001,﻿church,not recorded,English,,,,,,﻿Marysville,,﻿CA,﻿CA,39.1429134,-121.5882818,,,,,,﻿Rt. Rev.,﻿Eugene O'Connell,﻿D.D.,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0001,﻿church,not recorded,English,,,,,,﻿Marysville,,﻿CA,,39.1429134,-121.5882818,,,,,,﻿Rev.,﻿Nugent,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0003,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Alleghany Town,﻿Alleghany,﻿CA,﻿CA,39.4692306,-120.8429926,﻿gra.ca.0021,﻿church attended from Downiville,﻿once a month,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0057,﻿church,not recorded,English,,,,﻿Butte County,﻿Butte County,﻿Oroville,﻿Oroville,﻿CA,﻿CA,39.2232406,-123.7680598,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0067,﻿church,not recorded,English,,,,﻿Yuba County,﻿Yuba County,﻿Smartsville,﻿Smartsville,﻿CA,﻿CA,39.4692306,-120.8429926,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0018,﻿church,not recorded,English,,,,﻿Colusi County,﻿Colusa County,﻿Colusi,﻿Colusa,﻿CA,﻿CA,39.5500194,-123.438353,﻿gra.ca.0001,﻿visited from Marysville,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0029,﻿church,not recorded,English,,,,﻿Yuba County,﻿Yuba County,﻿Foster's Bar,﻿found on map,﻿CA,﻿CA,40.74080463,-123.2074406,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0043,﻿church,not recorded,English,,,,﻿Yuba County,,﻿Johnston's Crossing of Bear River,,﻿CA,﻿CA,39.326897,-121.142769,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0043,﻿church,not recorded,English,,,,﻿Yuba County,,﻿Long Bar,﻿Long Bar,﻿CA,﻿CA,39.326897,-121.142769,,﻿attended from Marysville,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0007,﻿church,not recorded,English,,,,﻿Yuba County,﻿Yuba County,﻿Brown's Valley,﻿Browns Valley,﻿CA,﻿CA,39.168056,-121.741,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0101,﻿church,﻿St. Mary of the Mountain,English,,,,﻿Storey County,﻿Storey County,﻿Virginia City,﻿Virginia City,﻿NV,﻿NV,41.3095884,-122.80141770000002,,,,,,﻿Rev.,﻿P. Manogue,,﻿pastor,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0021,﻿church,﻿Immaculate Conception,English,,,,﻿Sierra County,﻿Sierra County,﻿Downieville,﻿Downieville,﻿CA,﻿CA,39.5595198,-120.8276966,,,,,,﻿Very. Rev.,﻿Peter Magagnotto,,﻿pastor,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0072,﻿church,not recorded,English,,,,﻿Humboldt County,﻿Humboldt County,﻿Table Bluff,﻿Table Bluff,﻿CA,﻿CA,39.3649223,-123.8144752,,﻿attended by Rev. P. O'Reilly,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0074,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Trinity Centre,﻿Trinity Center,﻿CA,﻿CA,39.3700973,-121.1038655,,﻿attended by Rev. P. O'Reilly,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0061,﻿church,not recorded,English,,,,﻿Tehama County,﻿Tehama County,﻿Red Bluff,﻿Red Bluff,﻿CA,﻿CA,39.1346666,-121.1710389,,﻿attended by Rev. P. O'Reilly,,,,,,,﻿pastor,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0061,﻿church,not recorded,English,,,,﻿Shasta County,﻿Shasta County,﻿Red Bluff,﻿Red Bluff,﻿CA,﻿CA,39.1346666,-121.1710389,,﻿attended by Rev. P. O'Reilly,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0069,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿St. Louis,,﻿CA,﻿CA,39.7282839,-121.83799779999998,,,,,,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0069,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Downieville,﻿Downieville,﻿CA,﻿CA,39.7282839,-121.83799779999998,,,,,,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0027,﻿church,not recorded,English,,,,﻿Placer County,﻿Placer County,﻿Forest Hill,﻿Foresthill,﻿CA,﻿CA,39.0201768,-120.81798909999998,,﻿attended by Rev. B. P. Morris,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0027,﻿church,not recorded,English,,,,﻿Placer County,﻿Placer County,﻿Alleghany Town,﻿Alleghany Town,﻿CA,﻿CA,39.0201768,-120.81798909999998,,﻿attended by Rev. B. P. Morris,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0027,﻿church,not recorded,English,,,,﻿Placer County,﻿Placer County,﻿La Porte,﻿La Porte,﻿CA,﻿CA,39.0201768,-120.81798909999998,,﻿attended by Rev. B. P. Morris,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0035,﻿church,not recorded,English,,,,﻿Nevada County,﻿Nevada County,﻿Grass Valley,﻿Grass Valley,﻿CA,﻿CA,39.21368920000001,-121.07334579999998,,,,,,﻿Rev.,﻿John Griffin,,﻿pastor,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0035,﻿church,not recorded,English,,,,﻿Tlamath County,﻿Tlamath County,﻿Paradise,﻿Paradise,﻿CA,﻿CA,39.21368920000001,-121.07334579999998,,,,,,﻿Rev.,﻿Florian Schweninger,﻿O.S.B.,﻿pastor,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0035,﻿station,not recorded,English,,,,﻿Del Norte County,﻿Del Norte County,﻿Paradise,﻿Paradise,﻿CA,,39.21368920000001,-121.07334579999998,,﻿attended by Rev. Florian Schweninger O.S.B.,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0035,﻿station,not recorded,English,,,,﻿Siskiyou County,﻿Siskiyou County,﻿Paradise,﻿Paradise,﻿CA,,39.21368920000001,-121.07334579999998,,﻿attended by Rev. Florian Schweninger O.S.B.,,,,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0105,﻿convent,﻿Convent of the Sisters of Notre Dame,English,,,,,,﻿Marysville,,,﻿CA,39.21368920000001,-121.07334579999998,,,,,,﻿Sister,﻿Mary Bernard Weber,,﻿Superior,,﻿sister,﻿15 Sisters,,1865,VAMarysvilleCalifornia
﻿gra.ca.0106,﻿convent,﻿Convent of the Sisters of Mercy,English,,,,,,﻿Grass Valley,,,﻿CA,39.21368920000001,-121.07334579999998,,,,,,﻿Sister,﻿Mary Baptist,,﻿Superior,,﻿sister,﻿8 Sisters,,1865,VAMarysvilleCalifornia
﻿gra.ca.0107,﻿convent,﻿Convent of the Sisters of Charity,English,,,,,,﻿Virginia City,,,﻿NV,39.21368920000001,-121.07334579999998,,,,,,﻿Sister,﻿Frederica,,﻿Superior,,﻿sister,﻿5 Sisters,,1865,VAMarysvilleCalifornia
﻿gra.ca.0108,﻿academy,﻿Academy of Notre Dame,English,﻿Directed by the Sisters of Notre Dame.  For young ladies.,,,,,﻿Marysville,,,﻿CA,39.21368920000001,-121.07334579999998,,,,,,,,,,,﻿pupil,﻿35 pupils,,1865,VAMarysvilleCalifornia
﻿gra.ca.0109,﻿school,﻿School for girls,English,﻿Conducted by the Sisters of Notre Dame.  For girls.,,,,,﻿Marysville,,,﻿CA,39.21368920000001,-121.07334579999998,,,,,,,,,,,﻿dayScholar,﻿81 day scholars,,1865,VAMarysvilleCalifornia
﻿gra.ca.0109,﻿school,﻿School for girls,English,﻿Conducted by the Sisters of Notre Dame.  For girls.,,,,,﻿Marysville,,,,39.21368920000001,-121.07334579999998,,,,,,,,,,,﻿freeScholar,﻿69 free scholars,,1865,VAMarysvilleCalifornia
﻿gra.ca.0110,﻿school,"﻿School for boys, at the St. Joseph's Church",English,﻿For boys,,,,,﻿Marysville,,,﻿CA,39.21368920000001,-121.07334579999998,,,,,,,,,,,﻿scholar,﻿About 90 scholars,,1865,VAMarysvilleCalifornia
﻿gra.ca.0111,﻿school,﻿School for girls and small boys,English,﻿Conducted by the Sisters of Mercy.  For girls and small boys.,,,,,﻿Grass Valley,,,﻿CA,39.21368920000001,-121.07334579999998,,,,,,,,,,,﻿scholar,﻿150 scholars,,1865,VAMarysvilleCalifornia
﻿gra.ca.0112,﻿school,﻿Catholic school,English,﻿Conducted by,,,,,﻿Forest Hill,,,﻿CA,39.21368920000001,-121.07334579999998,,,,,,﻿Mr.,﻿Nealan,﻿M.A.,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0113,﻿school,﻿School for girls,English,﻿Conducted by the Sisters of Charity.  For girls.,,,,,﻿Virginia City,,,﻿NV,39.21368920000001,-121.07334579999998,,,,,,,,,,,﻿scholar,﻿150 scholars,,1865,VAMarysvilleCalifornia
﻿gra.ca.0114,﻿school,﻿St. Mary's School for Boys,English,﻿For boys,,,,,﻿Virginia City,,,﻿NV,39.21368920000001,-121.07334579999998,,,,,,,,,,,﻿scholar,﻿50 scholars,,1865,VAMarysvilleCalifornia
﻿gra.ca.0115,﻿asylum,﻿Orphan asylum,English,﻿Under the care of the Sisters of Mercy,,,,,﻿Grass Valley,,,﻿CA,39.21368920000001,-121.07334579999998,,,,"﻿This Institution, just commenced, consists of a substanial and fine building, erected at a cost of $30,000",,,,,,,,,,1865,VAMarysvilleCalifornia
﻿gra.ca.0115,﻿asylum,﻿Orphan asylum,English,﻿Under the care of the Sister of Charity,,,,,﻿Virginia City,,,﻿NV,39.21368920000001,-121.07334579999998,,,,,,,,,,,,,,1865,VAMarysvilleCalifornia
